Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
2067;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;ARROYO DEL OLIVAR;CALLE;0;ESQ C/ TENIENTE MUÑOZ;MARTINEZ RIVA;ARROYO DEL OLIVAR, CALLE Nº0 ESQ C/ TENIENTE MUÑOZ MARTINEZ RIVA;444302;4471512;SI;10;444192,559;4471304,48;-3.65755441;40.39056272
2069;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;ARROYO DEL OLIVAR;CALLE;53;FTE C/ JESUS JIMENEZ;MARTINEZ RIVA;ARROYO DEL OLIVAR, CALLE Nº53 FTE C/ JESUS JIMENEZ MARTINEZ RIVA;444563;4471322;SI;10;444453,556;4471114,476;-3.65446275;40.38886851
2070;;MARQUESINA MOD XXI 4-M REDUCIDA;PUENTE DE VALLECAS;PALOMERAS;AV;108;ESQ AVD BUENOS AIRES;AVD PABLO NERUDA;PALOMERAS, AVD Nº108 ESQ AVD BUENOS AIRES AVD PABLO NERUDA;444719;4471095;SI;10, N10;444609,554;4470887,473;-3.65260509;40.38683392
2071;;MARQUESINA MOD XXI 4-M REDUCIDA;PUENTE DE VALLECAS;BUENOS AIRES;AV;31;DESP AV PALOMERAS;AV ALBUFERA;BUENOS AIRES, AV Nº31 DESP AV PALOMERAS AV ALBUFERA;444698;4471154;SI;10, 136;444588,554;4470946,474;-3.652857623;40.38736403
2073;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;PALOMERAS;AV;129;DESPC/RIO GUADAIRA;C/ARROYO DEL OLIVAR;PALOMERAS, AVD Nº0 FTE Nº 126 C/ GUADAIRA AV BUENOS AIRES;444879;4471066;SI;10;444769,552;4470858,471;-3.650717551;40.38658327
2074;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;PALOMERAS;AV;145;ANT C/PEDRO LABORDE;C/ARROYO DEL OLIVAR;PALOMERAS, AVD Nº143 ANTES C/PEDRO LABORDE (2ºMARQ) C/ARROYO DEL OLIVAR;445032;4471004;SI;10;444922,551;4470796,468;-3.648909648;40.38603485
2078;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;EXTREMEÑOS (DE LOS);CALLE;0;ANT AV PABLO NERUDA;AV PABLO NERUDA;EXTREMEÑOS (DE LOS), CALLE Nº0 ANTES AV PABLO NERUDA  AV PABLO NERUDA;445282;4470966;SI;10;445172,548;4470758,465;-3.645961057;40.38570898
2082;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;RAFAEL ALBERTI;AV;51;ANT C/ ARAGONESES;AV. MIGUEL HERNANDEZ;RAFAEL ALBERTI, AVD Nº51 ANTES C/ ARAGONESES AV. MIGUEL HERNANDEZ;445391;4470635;SI;10, 144, N10;445281,545;4470427,463;-3.644648528;40.38273428
2084;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;VILLALOBOS;CALLE;7;DESP C/ LEONESES;AV ALBUFERA;VILLALOBOS, CALLE Nº7 DESP C/ LEONESES AV ALBUFERA;445285;4470603;SI;10, 144;445175,545;4470395,464;-3.645894537;40.38243905
2085;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;VILLALOBOS;CALLE;22;ESQ  C/ LOS LEONESES;AV MIGUEL HERNANDEZ;VILLALOBOS, CALLE Nº22 ESQ  C/ LOS LEONESES AV MIGUEL HERNANDEZ;445015;4470536;SI;10, 144, 310;444905,546;4470328,468;-3.649069538;40.38181769
2088;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;PABLO NERUDA;AV;69;DESP. AV BUENOS AIRES;FUENTE CARRANTONA;PABLO NERUDA, AVD Nº69 DESP. AV BUENOS AIRES FUENTE CARRANTONA;444823;4470522;SI;10, 57, 144;444713,548;4470314,47;-3.651330193;40.38167888
2096;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;JAVIER DE MIGUEL;CALLE;109;"Nº 109-111; ANTES C/ SAN ANSELMO";C/MARTINEZ DE RIVA;"JAVIER DE MIGUEL, CALLE Nº109 Nº 109-111; ANTES C/ SAN ANSELMO C/MARTINEZ DE RIVA";444401;4470976;SI;310;444291,555;4470768,477;-3.656341197;40.38574073
2097;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;PEDRO LABORDE;CALLE;127;ESQ C/ HERMANOS GARCIA;AV. ALBUFERA;PEDRO LABORDE, CALLE Nº127 ESQ C/ HERMANOS GARCIA AV. ALBUFERA;444456;4470842;SI;310, N10;444346,553;4470634,476;-3.655681545;40.38453724
2102;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;LAGO CALAFATE;CALLE;13;ESQ C/ TANGER;PEDRO LABORDE;LAGO CALAFATE, CALLE Nº13  ESQ C/ TANGER PEDRO LABORDE;444977;4470799,5;SI;310;444867,549;4470591,969;-3.649539956;40.38418896
2104;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;LEONESES;CALLE;0;DESP C/ VILLALOBOS;PEDRO LABORDE;LEONESES, CALLE Nº0 DESP C/ VILLALOBOS PEDRO LABORDE;445147;4470621;SI;310;445037,546;4470413,466;-3.647521821;40.38259213
2105;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;VILLALOBOS;CALLE;87;C/LEONESES;C/ RAFAEL ALBERTI;VILLALOBOS, CALLE Nº87 C/LEONESES C/ RAFAEL ALBERTI;444858,9063;4470465;SI;310;444749,453;4470257,47;-3.650902265;40.38116776
2106;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;VILLALOBOS;CALLE;0;FTE Nº 145;MIGUEL HERNANDEZ;VILLALOBOS, CALLE Nº0 FTE Nº 145  MIGUEL HERNANDEZ;444773,1875;4470263,5;SI;10, 310;444663,734;4470055,97;-3.651894606;40.37934685
2109;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;PARQUE PALOMERAS BAJAS;AV;13;ESQ C/ TRISTANA;AV BUENOS AIRES;PARQUE PALOMERAS BAJAS, AVD Nº13 ESQ C/ TRISTANA AV BUENOS AIRES;444596;4470116;SI;10, 57, 136;444486,545;4469908,473;-3.653969073;40.37800631
2121;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;CONDESA VENADITO;CALLE;14;-;C/ ARTURO SORIA;CONDESA VENADITO, CALLE Nº14  C/ ARTURO SORIA;444653;4477492;SI;11, N3;444543,579;4477284,482;-3.653939299;40.44445733
2122;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;CONDESA VENADITO;CALLE;0;ESQ C/ MADRE ANTONIA DE PARIS;C/ ARTURO SORIA;CONDESA VENADITO, CALLE Nº0 ESQ C/ MADRE ANTONIA DE PARIS C/ ARTURO SORIA;444859;4477622;SI;11;444749,579;4477414,48;-3.651521539;40.44564213
2127;;MARQUESINA MOD XXI 5-M STD;RETIRO;MEDITERRANEO;AV;33;FTA Nº 28;MARIANO CAVIA;MEDITERRANEO, AV Nº33 FTA Nº 28 MARIANO CAVIA;442976;4473380;SI;14, 32, 63;442866,574;4473172,5;-3.673344727;40.40730097
2129;;MARQUESINA MOD XXI 5-M STD;RETIRO;MEDITERRANEO;AV;1;ENTRE  Nº 1-3;MARIANO CAVIA;MEDITERRANEO, AV Nº1 ENTRE  Nº 1-3 MARIANO CAVIA;442581;4473431;SI;14, 32, N9;442471,576;4473223,506;-3.678004381;40.40773324
2133;;MARQUESINA MOD XXI 4-M REDUCIDA ;CHAMARTIN;HABANA;Pº;56;ESQ. PZA. SAGRADOS CORAZONES;C/ MATEO INURRIA;HABANA, Pº Nº56 ESQ. PZA. SAGRADOS CORAZONES C/ MATEO INURRIA;441932;4478292;SI;14;441822,595;4478084,521;-3.68609693;40.45147846
2143;;MARQUESINA MOD XXI 5-M ESTRECHA CON LUMINARIA;CHAMARTIN;HABANA;Pº;147;ESQ C/ JOSE RGUEZ PINILLA 40 M;CONCHA ESPINA;HABANA, Pº Nº147 ESQ C/ JOSE RGUEZ PINILLA 40 M CONCHA ESPINA;442425;4479511;SI;14;442315,599;4479303,519;-3.680393726;40.46249407
2150;;MARQUESINA MOD XXI 5-M REDUCIDA ;CHAMARTIN;BURGOS;AV;4;ESQ C/ MARQUES TORROJA;AV SAN LUIS;BURGOS, AV. Nº4 ESQ C/ MARQUES TORROJA AV SAN LUIS;442797;4480395;SI;14, 129;442687,603;4480187,517;-3.676085846;40.47048323
2152;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;FELIPE II;AV;6;ESQ. C/ ALCALA A 10MT;NARVAEZ;FELIPE II, AV. Nº6 (2ª MAR) ESQ. C/ALCALA A 10MT NARVAEZ;442701;4475229;SI;15, C1, N3;442591,58;4475021,506;-3.676752151;40.42393884
2153;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;FELIPE II;AV;1;ESQ. NARVAEZ A 15MTS;ALCALA;FELIPE II, AV. Nº1 ESQ. NARVAEZ A 15MTS ALCALA;442741,625;4475270,5;SI;15, 152, 215, E2, E3;442632,205;4475063,005;-3.676277007;40.42431549
2157;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;NARVAEZ;CALLE;51;DESP C/ IBIZA;C/ CONDE PEÑALVER;NARVAEZ, CALLE Nº51 DESP C/ IBIZA C/ CONDE PEÑALVER;442753,4375;4474645,5;SI;2, 15, 26, 61, 63, 215, C2;442644,017;4474438,005;-3.676081495;40.41868598
2160;;MARQUESINA MOD XXI 4-M STD;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;40;ESQ. C/ MAIQUEZ;C/MARQUES DE CORBERA;ALCALDE SAINZ DE BARANDA,CALLE Nº40 ESQ. C/ MAIQUEZ C/MARQUES DE CORBERA;443015,8125;4474425,5;SI;2, 15, 215, N8;442906,39;4474218,001;-3.672969186;40.41672212
2163;;MARQUESINA MOD XXI 4-M STD;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;65;ESQ C/DR. ESQUERDO;AV MENENDEZ PELAYO;ALCALDE SAINZ DE BARANDA,CALLE Nº65 ESQ C/DR. ESQUERDO AV MENENDEZ PELAYO;443259,6875;4474431,5;SI;15, 215;443150,263;4474223,998;-3.670095265;40.41679284
2164;;MARQUESINA MOD XXI 4-M STD;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;72;ESQ C/ MARQUES DE LOZOYA;MARQUES CORBERA;ALCALDE SAINZ DE BARANDA,CALLE Nº72 ESQ C/ MARQUES DE LOZOYA MARQUES CORBERA;443466,9063;4474478,5;SI;15, 215;443357,48;4474270,995;-3.667657034;40.41723034
2167;;MARQUESINA MOD XXI 4-M REDUCIDA;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;107;ESQ C/ VAQUERIAS;AV. MENÉNDEZ PELAYO;ALCALDE SAINZ DE BARANDA,CALLE Nº107 ESQ C/ VAQUERIAS AV. MENÉNDEZ PELAYO;443619;4474646;SI;15;443509,574;4474438,493;-3.6658792;40.41874959
2169;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;ALCALDE SAINZ DE BARANDA;CALLE;0;FTE Nº 92;DR. ESQUERDO;ALCALDE SAINZ DE BARANDA,CALLE Nº0  FTE Nº 92 DR. ESQUERDO;443933,5;4474956;SI;15, 28, 71, N6;443824,073;4474748,489;-3.662199529;40.4215635
2172;;MARQUESINA MOD XXI 4-M STD;RETIRO;ALFONSO XII;CALLE;22;ESQ C/ ANTONIO MAURA;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº22 ESQ C/ ANTONIO MAURA Pº INFANTA ISABEL;441641;4474405;SI;19;441531,585;4474197,518;-3.689171624;40.41644215
2173;;MARQUESINA MOD XXI 4-M STD;RETIRO;ALFONSO XII;CALLE;0;FTE Nº 22;PUERTA ALCALA;ALFONSO XII, CALLE Nº0 FTE Nº 22 PUERTA ALCALA;441666;4474425;SI;19;441556,584;4474217,518;-3.688878796;40.41662407
2174;;MARQUESINA MOD XXI 5-M STD;RETIRO;ALFONSO XII;CALLE;48;ESQ C/ ESPALTER;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº48 ESQ C/ ESPALTER Pº INFANTA ISABEL;441649;4473985;SI;19;441539,583;4473777,517;-3.689038805;40.41265914
2176;;MARQUESINA MOD XXI 4-M REDUCIDA;RETIRO;ALFONSO XII;CALLE;58;ESQ. C/ DR. VELASCO;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº58 ESQ. C/ DR. VELASCO Pº INFANTA ISABEL;441658;4473603;SI;19;441548,583;4473395,517;-3.688897702;40.40921852
2179;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;ALBERTO PALACIOS;Pº;18;ESQ C/ ALADIERNA;Pº FERROVIARIOS;ALBERTO PALACIOS, Pº Nº18 ESQ C/ ALADIERNA Pº FERROVIARIOS;439716;4466640;SI;22, 79, N14;439606,539;4466432,518;-3.711125896;40.34635381
2182;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;ALBERTO PALACIOS;Pº;39;DESP C/ MANOLA Y ROSARIO;PZA AGATA;ALBERTO PALACIOS, Pº Nº39 DESP C/ MANOLA Y ROSARIO PZA AGATA;439540;4466420;SI;22, 79;439430,538;4466212,519;-3.713177324;40.34435919
2183;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;ALBERTO PALACIOS;Pº;73;ANTES C/ DOROTEO LABORDA;PZA AGATA;ALBERTO PALACIOS, Pº Nº73 ANTES C/ DOROTEO LABORDA PZA AGATA;439286;4466318;SI;22;439176,538;4466110,521;-3.716158189;40.34342186
2184;;MARQUESINA MOD XXI 4-M REDUCIDA;PUENTE DE VALLECAS;MARTINEZ DE LA RIVA;CALLE;58;ESQ C/ EDUARDO REQUENA;AV PABLO NERUDA;MARTINEZ DE LA RIVA, CALLE Nº58 ESQ C/ EDUARDO REQUENA AV PABLO NERUDA;443628,375;4471605;SI;24, 111, 310;443518,939;4471397,489;-3.665499329;40.3913552
2186;;MARQUESINA MOD XXI 5-M ESTRECHA ;PUENTE DE VALLECAS;EDUARDO REQUENAS;CALLE;0;FTE AMBULATORIO;SIERRA MOLINA;EDUARDO REQUENAS, CALLE Nº0 FTE AMBULATORIO SIERRA MOLINA;443534;4471372;SI;24;443424,564;4471164,491;-3.666590615;40.3892498
2189;;MARQUESINA MOD XXI 4-M REDUCIDA ;PUENTE DE VALLECAS;MANUEL MAROTO;CALLE;23;-;AV ALBUFERA;MANUEL MAROTO, CALLE Nº23 - AV ALBUFERA;443331;4471261;SI;24;443221,565;4471053,493;-3.668972447;40.38823606
2191;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;MANUEL MAROTO;CALLE;53;ESQ JOSE SERRANO.;AV SAN DIEGO.;MANUEL MAROTO, CALLE Nº53 ESQ JOSE SERRANO. AV SAN DIEGO.;443190;4471130;SI;24;443080,565;4470922,495;-3.670621974;40.38704633
2194;;MARQUESINA MOD XXI 4-M REDUCIDA ;PUENTE DE VALLECAS;LAGARTERA;CALLE;0;BLOQUE Nº 314;C/ LA MANCHA;LAGARTERA, CALLE Nº0 BLOQUE Nº 314 C/ LA MANCHA;443038;4470477;SI;24;442928,56;4470269,495;-3.672354364;40.38115335
2195;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;CONDE RGUEZ SAN PEDRO;CALLE;0;FTE C/ CALERA PITA;C/ MEJORANA;CONDE RGUEZ SAN PEDRO, CALLE Nº0 FTE C/ CALERA PITA C/ MEJORANA;443234;4470734;SI;24;443124,561;4470526,493;-3.670068303;40.38348193
2197;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;ENTREVIAS;AV;0;ESQ ESTACION ENTREVIAS;M-30;ENTREVIAS, AV. Nº0 ESQ ESTACION ENTREVIAS M-30;443378;4470526;SI;24;443268,558;4470318,491;-3.668353382;40.38161795
2198;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;ENTREVIAS;AV;82;ESQ. C/ DE LA SERENA;Cº POZO TIO RAIMUNDO;ENTREVIAS, AV. Nº82 ESQ. C/ DE LA SERENA Cº POZO TIO RAIMUNDO;443635;4470222;SI;24;443525,553;4470014,486;-3.665298904;40.37889676
2199;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;ENTREVIAS;AV;0;FTE  C/ SERENA;M-30;ENTREVIAS, AV. Nº0 FTE  C/ SERENA M-30;443617;4470277;SI;24;443507,554;4470069,487;-3.665515811;40.37939102
2201;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;ENTREVIAS;AV;0;FTE Nº 98;M-30;ENTREVIAS, AV. Nº0 FTE Nº 98 M-30;443819;4470117;SI;24;443709,551;4469909,483;-3.663122123;40.37796329
2206;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;ANDALUCES DEL POZO;CALLE;0;ESQ C/ ESTEBAN CARROS;ESTEBAN CARROS;ANDALUCES DEL POZO, CALLE Nº0 ANT C/ ESTEBAN CARROS ESTEBAN CARROS;444128;4469392;SI;24, 102;444018,541;4469184,477;-3.659418591;40.37145282
2207;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;GLORIETAS;AV;27;-;RONDA DEL SUR;GLORIETAS, AV Nº27 -  RONDA DEL SUR;444169;4469591;SI;24, 102;444059,543;4469383,477;-3.658953092;40.37324828
2208;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;COOPERATIVA ELECTRICA;CALLE;0;ESQ C/ VECINOS DEL POZO;RONDA DEL SUR;COOPERATIVA ELECTRICA, CALLE Nº0 ESQ C/ VECINOS DEL POZO RONDA DEL SUR;444113;4469743;SI;24, 102;444003,545;4469535,478;-3.659626046;40.37461384
2209;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;RONDA DEL SUR;;0;ESQ DEPOSITO DE AGUA;AV ENTREVIAS;RONDA DEL SUR Nº0 ESQ DEPOSITO DE AGUA AV ENTREVIAS;444005,7813;4469844,5;SI;24, 102, 103, N11;443896,328;4469636,98;-3.660897923;40.37552101
2211;;MARQUESINA MOD XXI 5-M STD;RETIRO;MENENDEZ Y PELAYO;AV;0;PZA MARIANO DE CAVIA ESQ;PZA MARIANO DE CAVIA;MENENDEZ Y PELAYO, AV Nº0 PZA MARIANO DE CAVIA ESQ PZA MARIANO DE CAVIA;442526;4473480;SI;26, 152, C1;442416,577;4473272,507;-3.678656982;40.40817087
2212;;MARQUESINA MOD XXI 4-M REDUCIDA;RETIRO;MENENDEZ Y PELAYO;AV;71;ESQ PZA NIÑO JESUS;C/PRINCEPE D VERGARA;MENENDEZ Y PELAYO, AV Nº71 ESQ PZA NIÑO JESUS C/PRINCEPE D VERGARA;442736;4473804;SI;26, 63, 152, C2;442626,576;4473596,504;-3.676211273;40.41110411
2216;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;NARVAEZ;CALLE;0;FTE Nº 7;C/ DOCE DE OCTUBRE;NARVAEZ, CALLE Nº0 FTE Nº 7 C/ DOCE DE OCTUBRE;442764;4475218;SI;26, 61;442654,58;4475010,505;-3.676008526;40.42384408
2218;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;CONDE DE PEÑALVER;CALLE;9;ANT C/ GOYA;C/ NARVAEZ;CONDE DE PEÑALVER, CALLE Nº9 ANTES C/ GOYA C/ NARVAEZ;442779;4475403;SI;26, 61;442669,581;4475195,505;-3.675848359;40.42551169
2219;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;CONDE DE PEÑALVER;CALLE;30;DESP C/ AYALA;FRANC. SILVELA;CONDE DE PEÑALVER, CALLE Nº30 DESP C/ AYALA FRANC. SILVELA;442826,4688;4475695,5;SI;26, 61, N3;442717,05;4475488,005;-3.675315098;40.42814994
2221;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;CONDE DE PEÑALVER;CALLE;50;-;FCO. SILVELA;CONDE DE PEÑALVER, CALLE Nº50 - FCO. SILVELA;442845;4475929;SI;26, 61, N3;442735,582;4475721,505;-3.675117637;40.4302547
2225;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;PRINCIPE DE VERGARA;CALLE;2;FRENTE Nº 5;PIO XII;PRINCIPE DE VERGARA, CALLE Nº2 FRENTE Nº 5 PIO XII;442411;4475161;SI;29, 52;442301,582;4474953,51;-3.680164465;40.42330623
2229;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;PRINCIPE DE VERGARA;CALLE;42;PROX. C/ AYALA;PZA. PERU;PRINCIPE DE VERGARA, CALLE Nº42 PROX. C/ AYALA PZA. PERU;442451;4475674;SI;29, 52, N2;442341,583;4475466,51;-3.679739394;40.42793036
2230;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;PRINCIPE DE VERGARA;CALLE;41;-;MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº41 - MENENDEZ PELAYO;442415;4475674;SI;29, 52, N2;442305,583;4475466,51;-3.680163781;40.42792787
2232;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;PRINCIPE DE VERGARA;CALLE;49;ESQ PZA M.SALAMANCA;MENEDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº49 ESQ PZA M.SALAMANCA MENEDEZ PELAYO;442440;4476004;SI;29, 52, N2;442330,584;4475796,51;-3.679898951;40.43090241
2233;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;PRINCIPE DE VERGARA;CALLE;74;ANTC/ DIEGO DE LEON;AV PIO XII;PRINCIPE DE VERGARA, CALLE Nº74 ANTES C/ DIEGO DE LEON AV PIO XII;442497;4476378;SI;29, 52, N2;442387,584;4476170,51;-3.679260815;40.43427553
2238;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;109;ESQ  C/ FRANCISCO SILVELA;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº109  ESQ  C/ FRANCISCO SILVELA  AV MENENDEZ PELAYO;442511;4476995;SI;29, 52;442401,586;4476787,51;-3.679151586;40.43983473
2241;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;142;JTO. MUSEO CIUDAD;PIO XII;PRINCIPE DE VERGARA, CALLE Nº142 JTO. MUSEO CIUDAD PIO XII;442598;4477520;SI;29, 52;442488,587;4477312,51;-3.678173244;40.44457019
2243;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;0;JTO. AUDITORIO NAC. MUSICA;PIO XII;PRINCIPE DE VERGARA, CALLE Nº0 JTO. AUDITORIO NAC. MUSICA PIO XII;442622;4477785;SI;29, 52;442512,589;4477577,51;-3.677914191;40.4469591
2249;;MARQUESINA MOD XXI 5-M STD;CENTRO;SEGOVIA;CALLE;14;-;Pº EXTREMADURA;SEGOVIA, CALLE Nº14 - Pº EXTREMADURA;439790,6563;4474122;SI;31, 50, 65;439681,251;4473914,534;-3.710953853;40.41376091
2253;;MARQUESINA MOD XXI 5-M STD;CENTRO;SEGOVIA;CALLE;0;Pº VIRGEN DEL PUERTO;PUENTE SEGOVIA;SEGOVIA, CALLE Nº0 VIRGEN DEL PUERTO PUENTE SEGOVIA;438966;4474174;SI;31, 65;438856,6;4473966,541;-3.720678212;40.41416927
2255;;MARQUESINA MOD XXI 4-M STD;LATINA;HIGUERAS;CALLE;0;FTE Nº 5;C/ ALHAMBRA;HIGUERAS, CALLE Nº0 FTE Nº 5 C/ ALHAMBRA;437124;4473479;SI;31;437014,61;4473271,555;-3.742319319;40.40777127
2260;10788;MARQUESINA MOD XXI 5-M REDUCIDA ;LATINA;ACHICORIA;PZA;0;ESQ C/ HIGUERAS;C/ HIGUERAS;ACHICORIA, PZA. Nº0 ESQ C/ HIGUERAS C/ HIGUERAS;436876;4472892;SI;31;436766,61;4472684,555;-3.745183739;40.40246456
2262;10787;MARQUESINA MOD XXI 5-M STD;LATINA;ALHAMBRA;CALLE;0;FTE Nº 56;C/ HIGUERAS;ALHAMBRA, CALLE Nº0 FTE Nº 56  C/ HIGUERAS;436956;4472517;SI;31, 55, 119, N18;436846,607;4472309,553;-3.744203884;40.39909247
2263;;MARQUESINA MOD XXI 4-M STD;LATINA;YEBENES (LOS);CALLE;;FRENTE AL Nº 43;C/OCAÑA;YEBENES (LOS), CALLE Nº FRENTE AL Nº 43 C/OCAÑA;436149;4472140;SI;31;436039,614;4471932,56;-3.753675213;40.3956348
2266;;MARQUESINA MOD XXI 4-M STD;LATINA;YEBENES (LOS);CALLE;159;FTE. COLONIA LOS SAUCES;Pº EXTREMADURA;YEBENES (LOS), CALLE Nº159 FTE. COLONIA LOS SAUCES Pº EXTREMADURA;436317;4471841;SI;31;436207,611;4471633,557;-3.751665814;40.39295415
2267;;MARQUESINA MOD XXI 5-M STD;USERA;SAN MARIO;CALLE;0;ESQ. Cº DE PERALES;Cº PERALES;SAN MARIO, CALLE Nº0 ESQ. Cº DE PERALES Cº PERALES;441463,3438;4470182;SI;78;441353,91;4469974,513;-3.690877285;40.37838667
2268;;MARQUESINA MOD XXI 4-M STD;LATINA;YEBENES (LOS);CALLE;253;ESQ C/ ILLESCAS;Pº EXTREMADURA;YEBENES (LOS), CALLE Nº253 ESQ C/ ILLESCAS Pº EXTREMADURA;436307;4471485;SI;31;436197,61;4471277,556;-3.751748031;40.38974639
2269;;MARQUESINA MOD XXI 4-M STD;LATINA;ILLESCAS;CALLE;183;-;Pº EXTREMADURA;ILLESCAS, CALLE Nº183 - Pº EXTREMADURA;436011;4471727;SI;31;435901,614;4471519,56;-3.755259724;40.39190374
2271;;MARQUESINA MOD XXI 4-M STD;LATINA;CAMARENA;CALLE;186;FTE. Nº 125;C/ OCAÑA;CAMARENA, CALLE Nº186 FTE. Nº 125 C/ OCAÑA;435963;4471531;SI;31;435853,614;4471323,56;-3.755805555;40.3901344
2274;;MARQUESINA MOD XXI 5-M STD;LATINA;CAMARENA;CALLE;207;FTE. Nº 80;C/ DUQ. DE PARCENT;CAMARENA, CALLE Nº207 FTE. Nº 80 C/ DUQ. DE PARCENT;435905,9375;4471243;SI;31, 121, N18;435796,551;4471035,559;-3.756448869;40.38753559
2276;;MARQUESINA MOD XXI 5-M STD;LATINA;CAMARENA;CALLE;0;FTE Nº 320;DUQUESA PARCENT;CAMARENA, CALLE Nº0 FTE Nº 320 DUQUESA PARCENT;435783,4375;4471014,5;SI;31, 121, N18;435674,05;4470807,06;-3.757869041;40.38546773
2278;;MARQUESINA MOD XXI 5-M STD;RETIRO;CRUZ DEL SUR;CALLE;0;FTE. C/ DE PERSEO;AV MEDITERRANEO;CRUZ DEL SUR, CALLE Nº0 FTE. C/ DE PERSEO AV MEDITERRANEO;443343;4473436;SI;32;443233,572;4473228,495;-3.669024633;40.40783051
2279;;MARQUESINA MOD XXI 4-M REDUCIDA ;RETIRO;ESTRELLA POLAR;CALLE;3;ESQ CRUZ DEL SUR;CRUZ DEL SUR;ESTRELLA POLAR, CALLE Nº3 ESQ CRUZ DEL SUR CRUZ DEL SUR;443448;4473707;SI;32;443338,572;4473499,494;-3.667811289;40.41027897
2282;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;MORATALAZ;AV;160;ESQ Cº DE LOS VINATEROS;DR.GARCIA TAPIA;MORATALAZ, AV Nº160 ESQ Cº DE LOS VINATEROS DR.GARCIA TAPIA;445272;4473400;SI;32;445162,559;4473192,468;-3.646288097;40.40763528
