ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
441982.37-4481759.29,"AVENIDA LLANO CASTELLANO, 5",FUENCARRAL-EL PARDO,28034.0,441982.37,4481759.29
441984.1208-4481250.397,"CALLE CONDE DE TORRALBA, 21",CHAMARTIN,28046.0,441984.1208,4481250.397
441984.1757-4480164.526,"CALLE MANUEL FERRERO, 21",CHAMARTIN,28046.0,441984.1757,4480164.526
441985.19-4467707.74,"CALLE DE GRAZIA DELEDDA, 1",VILLAVERDE,28021.0,441985.19,4467707.74
441986.1958-4481262.558,"CALLE CONDE DE TORRALBA, 21",CHAMARTIN,28046.0,441986.1958,4481262.558
441986.8979-4480765.697,"CALLE MAURICIO LEGENDRE, 47",CHAMARTIN,28046.0,441986.8979,4480765.697
441987.53-4475362.83,"Calle  Velázquez, 48 ",SALAMANCA,28001.0,441987.53,4475362.83
441988.65-4482014.22,"AVENIDA LLANO CASTELLANO, 15",FUENCARRAL-EL PARDO,28034.0,441988.65,4482014.22
441990.0-4473218.0,"CIUDAD DE BARCELONA, AV Nº1  FTE Nº 6 (2 MARQUESINA) GTA CARLOS V",RETIRO,28007.0,441990.0,4473218.0
441990.8712-4474739.033,"CALLE ALCALA, 95",SALAMANCA,28001.0,441990.8712,4474739.033
441993.44-4481891.95,"CALLE FRANCISCO SANCHA, 2",FUENCARRAL-EL PARDO,28034.0,441993.44,4481891.95
441994.198-4480294.588,"CALLE AGUSTIN DE FOXA, 31",CHAMARTIN,28046.0,441994.198,4480294.588
441994.2-4482435.25,"CALLE ISLA DE JAVA, 48",FUENCARRAL-EL PARDO,28034.0,441994.2,4482435.25
441994.9684-4480813.59,"CALLE MAURICIO LEGENDRE, 38",CHAMARTIN,28046.0,441994.9684,4480813.59
441999.015-4478396.318,"CALLE CONDES DEL VAL, 3",CHAMARTIN,28016.0,441999.015,4478396.318
441999.1604-4481145.876,"CALLE PABLO LUNA, 7",CHAMARTIN,28046.0,441999.1604,4481145.876
441999.43-4479428.02,"Calle  Apolonio Morales, 3 ",CHAMARTIN,28036.0,441999.43,4479428.02
441999.8725-4472823.0,"CALLE TELLEZ, 8",RETIRO,28007.0,441999.8725,4472823.0
442002.4125-4480782.529,"CALLE MAURICIO LEGENDRE, 36",CHAMARTIN,28046.0,442002.4125,4480782.529
442003.03-4481960.69,"AVENIDA LLANO CASTELLANO, 13",FUENCARRAL-EL PARDO,28034.0,442003.03,4481960.69
442004.3606-4475534.948,"CALLE VELAZQUEZ, 66",SALAMANCA,28001.0,442004.3606,4475534.948
