,ID,TIPO,UBICACION,HORARIO
246,Contenedor de pilas-438598.125-4474093.5,CONTENEDOR DE PILAS,438598.125-4474093.5,24 horas
247,Contenedor de pilas-438618-4472842,CONTENEDOR DE PILAS,438618.0-4472842.0,24 horas
248,Contenedor de pilas-438620-4473036,CONTENEDOR DE PILAS,438620.0-4473036.0,24 horas
249,Contenedor de pilas-438632.5625-4482225.5,CONTENEDOR DE PILAS,438632.5625-4482225.5,24 horas
250,Contenedor de pilas-438639-4473313,CONTENEDOR DE PILAS,438639.0-4473313.0,24 horas
251,Contenedor de pilas-438646.4688-4470816,CONTENEDOR DE PILAS,438646.4688-4470816.0,24 horas
252,Contenedor de pilas-438654-4476836,CONTENEDOR DE PILAS,438654.0-4476836.0,24 horas
253,Contenedor de pilas-438673-4473524,CONTENEDOR DE PILAS,438673.0-4473524.0,24 horas
254,Contenedor de pilas-438693-4472702,CONTENEDOR DE PILAS,438693.0-4472702.0,24 horas
255,Contenedor de pilas-438694-4480790,CONTENEDOR DE PILAS,438694.0-4480790.0,24 horas
256,Contenedor de pilas-438695-4471840,CONTENEDOR DE PILAS,438695.0-4471840.0,24 horas
257,Contenedor de pilas-438700-4470864,CONTENEDOR DE PILAS,438700.0-4470864.0,24 horas
258,Contenedor de pilas-438719.0938-4470982,CONTENEDOR DE PILAS,438719.0938-4470982.0,24 horas
259,Contenedor de pilas-438720.8125-4471920.5,CONTENEDOR DE PILAS,438720.8125-4471920.5,24 horas
260,Contenedor de pilas-438734.8438-4473724,CONTENEDOR DE PILAS,438734.8438-4473724.0,24 horas
261,Contenedor de pilas-438743.4688-4471909.5,CONTENEDOR DE PILAS,438743.4688-4471909.5,24 horas
262,Contenedor de pilas-438754-4481511,CONTENEDOR DE PILAS,438754.0-4481511.0,24 horas
263,Contenedor de pilas-438762-4475186,CONTENEDOR DE PILAS,438762.0-4475186.0,24 horas
264,Contenedor de pilas-438797.4688-4475932.5,CONTENEDOR DE PILAS,438797.4688-4475932.5,24 horas
265,Contenedor de pilas-438803-4469697,CONTENEDOR DE PILAS,438803.0-4469697.0,24 horas
